Annotation,Domain ID,Matched Members,Matched Count,Summed Significance Score,Enrichment P-value,Enrichment Q-value,Depletion P-value,Depletion Q-value
glucose transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
nitrogen catabolite regulation of transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
protein N-linked glycosylation via asparagine,10,KRE5;OST1;OST3;OST6;STT3;WBP1,6,135.0,0.001,0.044586206896551725,0.998,1.0
ribonucleoprotein complex localization,54,GLE2;NOG2;NUP100;PPH22;REA1,5,12.27454494336405,0.009,1.0,1.0,1.0
very long-chain fatty acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of meiotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
response to metal ion,-1,,0,0.0,1.0,1.0,1.0,1.0
response to monosaccharide,-1,,0,0.0,1.0,1.0,1.0,1.0
adenylate cyclase-modulating G protein-coupled receptor signaling pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
organic hydroxy compound transport,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of response to extracellular stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
neutral amino acid transport,-1,,0,0.0,1.0,1.0,1.0,1.0
TORC1 signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
rRNA export from nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
acylglycerol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein modification by small protein removal,-1,,0,0.0,1.0,1.0,1.0,1.0
chaperone cofactor-dependent protein refolding,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA export from nucleus,56,CEX1;CRM1;DBP5;LOS1;MEX67;MSN5;MTR2;NSP1;NUP100;NUP116;NUP133;NUP145;NUP49;RNA1;SOL1;SOL2;TEF1;TEF2;UTP22;UTP8;UTP9,21,18.0,0.001,0.09235714285714286,1.0,1.0
anaphase-promoting complex-dependent catabolic process,48,APC1;APC11;APC2;APC4;APC5;CDC16;CDC23;CDC26;CDC27;CDH1;DOC1;MND2,12,20.1830299622427,0.003,0.2770714285714286,1.0,1.0
nucleosome organization,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA replication-dependent chromatin assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment of protein localization to plasma membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
Golgi organization,-1,,0,0.0,1.0,1.0,1.0,1.0
chromosome condensation,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular metabolic compound salvage,42,AAH1;ADO1;AMD1;APT1;APT2;ARO8;ARO9;BAT1;BAT2;BUD16;BUD17;DAS2;FUR1;HPT1;MDE1;MEU1;MRI1;PDX3;PNC1;SAM4;URH1;URK1;XPT1,23,36.0,0.001,0.6465,1.0,1.0
negative regulation of DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
glycosyl compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
vacuolar protein processing,53,ATG15;ATG18;ENV11;ENV9;SND2;VPS41,6,13.806179973983888,0.005,0.6465,0.996,1.0
cellular response to nitrogen compound,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of nuclear division,-1,,0,0.0,1.0,1.0,1.0,1.0
snRNA 3'-end processing,31,LRP1;MTR3;MTR4;NAB3;NRD1;PAP2;REX3;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;TRF5;USB1,17,135.0,0.001,0.036942857142857145,0.986,1.0
positive regulation of mitochondrion organization,-1,,0,0.0,1.0,1.0,1.0,1.0
leucine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
glucan catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of cell cycle phase transition,48,APC11;APC5;CCR4;CDC16;CDC23;CDC25;CDC55;CDH1;CLN1;CYS4;FIN1;GID8;GLC7;IGO1;IGO2;LTE1;MIH1;MND2;NUD1;PPH3;PSY2;PSY4;RIM15;SDA1;WHI3;WHI5;XRN1;ZDS1;ZDS2,29,24.0,0.001,0.11754545454545455,1.0,1.0
regulation of actin nucleation,-1,,0,0.0,1.0,1.0,1.0,1.0
phosphatidylglycerol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cell morphogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine nucleobase biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of microtubule polymerization or depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of DNA metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
hexose catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"retrograde protein transport, ER to cytosol",-1,,0,0.0,1.0,1.0,1.0,1.0
septin cytoskeleton organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein polymerization,47,ABP1;AIM21;AIM3;AIP1;ARC15;ARC18;ASK1;BIM1;BNI1;BUD14;BZZ1;CAP1;CAP2;DAD1;DAD2;DAD3;DAD4;DAM1;DUO1;HSK3;LAS17;NAP1;PFY1;SLA1;SPC110;SPC19;SPC34;SRV2;TDA2;TWF1,30,24.29073003902417,0.002,0.2350909090909091,1.0,1.0
glutathione metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear polyadenylation-dependent ncRNA catabolic process,31,AIR1;AIR2;CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;PAP2;RAI1;RAT1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;TRF5,20,135.0,0.001,0.036942857142857145,0.986,1.0
establishment of mitochondrion localization,-1,,0,0.0,1.0,1.0,1.0,1.0
hyperosmotic response,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",-1,,0,0.0,1.0,1.0,1.0,1.0
tricarboxylic acid cycle,34,ACO1;ACO2;CIT1;CIT2;FUM1;ICL1;IDH1;IDH2;IDP1;KGD1;KGD2;LSC1;LSC2;LYS12;MDH1;MDH2;MDH3;MLS1;SDH1;SDH2;SDH4;SDH5;SDH9,23,69.0,0.001,0.09946153846153846,0.992,1.0
vesicle budding from membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
spliceosomal complex disassembly,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular manganese ion homeostasis,27,GDT1;MAM3;PMR1;SMF1;SMF3;SPF1,6,90.0,0.001,0.09946153846153846,0.995,1.0
mitotic spindle elongation,-1,,0,0.0,1.0,1.0,1.0,1.0
CDP-diacylglycerol biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic intra-S DNA damage checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleobase biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
apoptotic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of TOR signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA replication checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular zinc ion homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to heat,56,DDR2;GCN3;GLE2;HSC82;HSP104;HSP12;HSP26;HSP78;HSP82;NMA111;NUP100;NUP120;NUP133;NUP188;NUP2;NUP60;NUP84;OLA1;SIS1;TOR1;TPS1;TPS2;TTI2,23,18.0,0.001,0.09235714285714286,1.0,1.0
(1->3)-beta-D-glucan biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
acetyl-CoA metabolic process,34,ACS1;ACS2;CIT1;KGD2;LAT1;LPD1;PDA1;PDB1;PDX1,9,57.5505602081289,0.004,0.28733333333333333,0.997,1.0
establishment of protein localization to endoplasmic reticulum,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of TORC1 signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
regulatory ncRNA 3'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
second-messenger-mediated signaling,60,CMP2;CNA1;CNB1;CSG2;DPL1;LCB4;LCB5;PDE2;PHO80;PHO85;RCN1;SRV2,12,15.0,0.001,0.05621739130434782,1.0,1.0
mitochondrial respiratory chain complex III assembly,18,CBP3;CBP6;COI1;FMP25;MZM1;QCR7;QCR9,7,93.0,0.001,0.07605882352941176,1.0,1.0
positive regulation of meiotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
glutamine family amino acid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mannosylation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein phosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
copper ion import,-1,,0,0.0,1.0,1.0,1.0,1.0
cell adhesion,-1,,0,0.0,1.0,1.0,1.0,1.0
glycosyl compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
division septum assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
vesicle tethering involved in exocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
transcriptional start site selection at RNA polymerase II promoter,17,CHD1;HMO1;ISW1;REB1;SPT6;SSL2;SSU72;SUA7;TFG1;TFG2,10,111.0,0.001,0.07605882352941176,1.0,1.0
positive regulation of transcription initiation by RNA polymerase II,-1,,0,0.0,1.0,1.0,1.0,1.0
fungal-type cell wall polysaccharide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein-RNA complex disassembly,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mating type switching,-1,,0,0.0,1.0,1.0,1.0,1.0
polyol biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
plasmid maintenance,-1,,0,0.0,1.0,1.0,1.0,1.0
meiotic cell cycle checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of transcription elongation by RNA polymerase II,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitochondrial gene expression,59,ATP22;CBP3;CBP6;CBS2;COA3;MDM38;MSS51;PET54,8,11.505149978319906,0.005,1.0,1.0,1.0
regulation of heterochromatin organization,-1,,0,0.0,1.0,1.0,1.0,1.0
vacuole inheritance,-1,,0,0.0,1.0,1.0,1.0,1.0
metallo-sulfur cluster assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
polysaccharide biosynthetic process,60,FKS1;FKS3;GAC1;GAS1;GAS3;GAS5;GDB1;GIP2;GLC3;GLC8;GLG1;GLG2;GSC2;GSY1;GSY2;GTB1;IGD1;KAR2;KRE5;KRE6;LRG1;MNN5;PCL10;PCL6;PCL7;PCL8;PGM1;PHO85;PIG2;PSK1;RHO1;ROT2;SAK1;SKN1;SMI1;TRS65;UGP1,37,15.0,0.001,0.05621739130434782,1.0,1.0
protein O-linked mannosylation,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleoside monophosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of filamentous growth of a population of unicellular organisms,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleoside diphosphate metabolic process,38,ADK1;ADK2;CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;TDH1;TDH2;TDH3;TPI1,24,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
positive regulation of protein localization,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to water stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of phosphate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment of mitotic sister chromatid cohesion,-1,,0,0.0,1.0,1.0,1.0,1.0
peroxisome fission,-1,,0,0.0,1.0,1.0,1.0,1.0
ribophagy,67,ATG11;BRE5;CDC48;DOA1;PRO1;UBP3;VAC8,7,123.62105851873653,0.003,1.0,1.0,1.0
regulation of rRNA processing,17,CCM1;NAN1;RIO1;SPT4;SPT5,5,111.0,0.001,0.07605882352941176,1.0,1.0
RNA polymerase II preinitiation complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
exocyst localization,-1,,0,0.0,1.0,1.0,1.0,1.0
protein autoubiquitination,-1,,0,0.0,1.0,1.0,1.0,1.0
purine nucleoside bisphosphate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
L-serine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
oligopeptide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of spindle organization,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular hyperosmotic response,-1,,0,0.0,1.0,1.0,1.0,1.0
response to arsenic-containing substance,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to nuclear inner membrane,56,NUP100;NUP145;NUP157;NUP170;NUP2;NUP57,6,18.0,0.001,0.09235714285714286,1.0,1.0
iron ion transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
protein desumoylation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of transcription initiation by RNA polymerase II,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of rDNA heterochromatin formation,-1,,0,0.0,1.0,1.0,1.0,1.0
proton-transporting two-sector ATPase complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
porphyrin-containing compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"post-translational protein targeting to membrane, translocation",10,FRT1;KAR2;LHS1;SBH2;SEC61;SEC62;SEC63;SEC66;SEC72;SPC2;SSH1;STE24,12,129.0,0.001,0.044586206896551725,0.994,1.0
alpha-amino acid catabolic process,34,ALT1;ALT2;ARG80;ARO10;ARO80;ARO9;ASP1;BNA1;BNA4;BNA5;CAR1;CAR2;CHA1;EHD3;GCV1;GCV2;GCV3;GDH2;GLY1;ILV1;KGD2;LPD1;PDC1;PDC5;PDC6;PUT2;PUT3;SAH1;SHM1;SHM2;UGA2,31,69.0,0.001,0.09946153846153846,0.983,1.0
NAD biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA gene clustering,-1,,0,0.0,1.0,1.0,1.0,1.0
G1/S transition of mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of telomere maintenance,-1,,0,0.0,1.0,1.0,1.0,1.0
transcription elongation by RNA polymerase I,17,BUD27;CDC73;CTR9;DST1;HPR1;LEO1;PAF1;RPA34;RPA49;RTF1;SPT4;SPT5;THO2,13,111.0,0.001,0.07605882352941176,1.0,1.0
double-strand break repair via synthesis-dependent strand annealing,-1,,0,0.0,1.0,1.0,1.0,1.0
COPII-coated vesicle cargo loading,-1,,0,0.0,1.0,1.0,1.0,1.0
actin cortical patch assembly,47,ABP1;AIM3;AKL1;ARK1;END3;ENT1;ENT2;GID12;LDB17;PAN1;PRK1;SLA1;SLA2;SYP1,14,29.0,0.001,0.1293,0.99,1.0
fatty acid transport,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA recombinase assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
protein maturation by iron-sulfur cluster transfer,-1,,0,0.0,1.0,1.0,1.0,1.0
alditol phosphate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
receptor metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cytochrome complex assembly,18,CBP3;CBP6;COA3;COI1;COX12;CYC3;FMP25;FMP32;MRP7;MRPL35;MSS51;MZM1;QCR7;QCR9;RCF2,15,93.0,0.001,0.07605882352941176,1.0,1.0
purine ribonucleoside metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to nuclear envelope,56,MLP1;NUP100;NUP145;NUP157;NUP170;NUP2;NUP57,7,18.0,0.001,0.09235714285714286,1.0,1.0
post-translational protein targeting to endoplasmic reticulum membrane,10,FRT1;GET3;GET4;KAR2;LHS1;MDY2;SBH2;SEC61;SEC62;SEC63;SEC66;SEC72;SGT2;SPC2;SSH1;STE24;YBR137W,17,129.0,0.001,0.044586206896551725,0.99,1.0
"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to reactive oxygen species,15,CCS1;CUP1-1;CUP1-2;DDR2;DRE2;MDL2;MRP1;RSM26;SOD1;SOD2;TRR1;TRR2,12,79.13202028617724,0.004,1.0,1.0,1.0
regulation of ribosomal protein gene transcription by RNA polymerase II,-1,,0,0.0,1.0,1.0,1.0,1.0
cell wall (1->3)-beta-D-glucan biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cytosolic ribosome assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of ribosomal protein gene transcription by RNA polymerase II,-1,,0,0.0,1.0,1.0,1.0,1.0
sterol transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of RNA splicing,-1,,0,0.0,1.0,1.0,1.0,1.0
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein folding in endoplasmic reticulum,12,EMC1;EMC2;EMC3;EMC4;EMC5;EMC6;ERO1;ERV2;HSP104;OSM1;ROT1;SCJ1,12,118.11142037289761,0.001,1.0,1.0,1.0
disaccharide metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of intracellular protein transport,52,CLA4;FUS3;POR1;SAR1;SKY1,5,14.320302433924725,0.009,1.0,1.0,1.0
tRNA 5'-leader removal,-1,,0,0.0,1.0,1.0,1.0,1.0
monosaccharide catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of DNA metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
porphyrin-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial tRNA processing,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to chromatin,-1,,0,0.0,1.0,1.0,1.0,1.0
isoleucine biosynthetic process,34,BAT1;BAT2;CHA1;HOM2;HOM6;ILV1;ILV2;ILV3;ILV5;ILV6;MMF1,11,76.19382002601611,0.001,0.09946153846153846,1.0,1.0
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,-1,,0,0.0,1.0,1.0,1.0,1.0
sno(s)RNA transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
U4 snRNA 3'-end processing,31,LRP1;MTR3;MTR4;PAP2;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;TRF5,13,141.0,0.001,0.036942857142857145,0.99,1.0
"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",29,BMS1;BUD21;CDC4;DBP8;DIP2;EMG1;ESF2;FCF1;FCF2;LOC1;MPP10;MRD1;NOC4;NOP14;NOP58;NOP9;PNO1;PWP2;RCL1;ROK1;RRP5;RRP9;SAS10;TOM1;UTP10;UTP11;UTP13;UTP14;UTP18;UTP20;UTP23;UTP6;UTP7,33,234.0,0.001,0.32325,1.0,1.0
double-strand break repair via break-induced replication,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA catabolic process,31,AIR1;AIR2;CSL4;DIS3;MET22;MTR3;MTR4;PAP2;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;TRF5;XRN1,18,135.0,0.001,0.036942857142857145,0.989,1.0
budding cell apical bud growth,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of metaphase/anaphase transition of cell cycle,48,APC11;APC5;CDC16;CDC23;CDH1;FIN1;MND2,7,24.0,0.001,0.11754545454545455,1.0,1.0
IMP metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
RNA import into nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of DNA repeat elements,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of phosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
trehalose biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of phospholipid biosynthetic process,60,ARF3;CSR1;PHO85;UPS1;VAC7;YEL1,6,10.774509799928715,0.007,0.33522222222222225,1.0,1.0
formation of translation preinitiation complex,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial ATP synthesis coupled electron transport,18,COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX7;COX8;COX9;CYC1;CYT1;MTC3;NDI1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1;SDH4;SDH5;SDH9;TAZ1,26,93.0,0.001,0.07605882352941176,1.0,1.0
histidine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment of protein-containing complex localization to telomere,-1,,0,0.0,1.0,1.0,1.0,1.0
"regulation of vacuole fusion, non-autophagic",-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrion inheritance,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to salt,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of nucleotide-excision repair,17,CDC73;CTR9;IXR1;LEO1;PAF1;RTF1;SPT4;SPT5,8,99.8618901604327,0.002,0.11754545454545455,1.0,1.0
positive regulation of autophagosome assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cell cycle G2/M phase transition,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
termination of RNA polymerase II transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleoside monophosphate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of binding,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of DNA-templated DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
U5 snRNA 3'-end processing,31,LRP1;MTR4;REX3;RRP42;RRP43;RRP45;RRP6;SKI6,8,135.0,0.001,0.036942857142857145,0.992,1.0
thioester metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
microtubule nucleation,-1,,0,0.0,1.0,1.0,1.0,1.0
thioester biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
sodium ion transmembrane transport,25,ENA1;NHA1;NHX1;PHO89;VNX1;YVC1,6,90.0,0.001,0.09946153846153846,1.0,1.0
stress granule assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
glucose mediated signaling pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
synaptonemal complex organization,-1,,0,0.0,1.0,1.0,1.0,1.0
malate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to cell periphery,-1,,0,0.0,1.0,1.0,1.0,1.0
GPI anchor biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
glycolipid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cellular response to amino acid starvation,-1,,0,0.0,1.0,1.0,1.0,1.0
'de novo' protein folding,-1,,0,0.0,1.0,1.0,1.0,1.0
actomyosin contractile ring organization,-1,,0,0.0,1.0,1.0,1.0,1.0
glutamate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
signal transduction involved in positive regulation of conjugation with cellular fusion,-1,,0,0.0,1.0,1.0,1.0,1.0
dicarboxylic acid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
vesicle docking,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of endoplasmic reticulum unfolded protein response,10,ISW1;KIN1;KIN2;PMT1;PMT2;PMT4;PTC2;SKN7;YAP1;YPT1,10,129.0,0.001,0.044586206896551725,0.992,1.0
"retrograde transport, endosome to Golgi",51,ANY1;ATG20;BOI1;BOI2;CDC50;DOP1;ENT3;ENT5;LAA1;MON2;PEP8;PTM1;RCY1;RGP1;RHB1;RIC1;SFT2;SNX4;SNX41;TCA17;TDA3;TRS120;TRS130;VPS17;VPS29;VPS30;VPS35;VPS5;VPS51;VPS52;VPS53;VPS54;YHL017W;YPT1;YPT31;YPT32;YPT6;YPT7,38,21.0,0.001,1.0,1.0,1.0
acetyl-CoA biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
exocytic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mRNA processing,-1,,0,0.0,1.0,1.0,1.0,1.0
secondary alcohol metabolic process,10,ARA1;ARE2;ERG1;ERG10;ERG11;ERG2;ERG20;ERG24;ERG25;ERG26;ERG27;ERG28;ERG29;ERG3;ERG4;ERG5;ERG6;ERG7;ERG9;GRE2;HMG1;HMG2;IDH1;IDH2;IDI1;IDP1;LYS12;MCR1;MOT3;NCP1;ORA1;RRI1;YPR1,33,129.0,0.001,0.044586206896551725,0.976,1.0
intralumenal vesicle formation,-1,,0,0.0,1.0,1.0,1.0,1.0
pantothenate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
NADP metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of response to endoplasmic reticulum stress,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of transcription-coupled nucleotide-excision repair,17,CDC73;CTR9;LEO1;PAF1;RTF1;SPT4;SPT5,7,99.8618901604327,0.002,0.11754545454545455,1.0,1.0
regulation of cell size,-1,,0,0.0,1.0,1.0,1.0,1.0
proteasome regulatory particle assembly,14,HSM3;NAS2;NAS6;RPN14;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6,10,123.0,0.001,0.06805263157894736,1.0,1.0
ornithine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
response to inorganic substance,-1,,0,0.0,1.0,1.0,1.0,1.0
"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",29,BMS1;CDC4;DBP8;DIP2;EMG1;ESF2;FCF1;FCF2;LCP5;LOC1;MPP10;MRD1;NOC4;NOP14;NOP58;NOP9;PWP2;RCL1;ROK1;RRP5;RRP9;SAS10;TOM1;UTP10;UTP11;UTP13;UTP14;UTP18;UTP20;UTP23;UTP6;UTP7,32,234.0,0.001,0.32325,1.0,1.0
GPI anchor metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein deneddylation,-1,,0,0.0,1.0,1.0,1.0,1.0
telomere maintenance via recombination,66,BRE1;BUD32;CGI121;GON7;IES3;IES4;IES5;INO80;KAE1;MEC1;NHP10;PCC1;PIF1;RAD50;RAD51;RAD52;RAD57;RAD59;RAD6;RFA1;RFA2;RFA3;TOP2,23,26.619607839942972,0.001,1.0,1.0,1.0
mitochondrial tRNA 5'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-1,,0,0.0,1.0,1.0,1.0,1.0
"tRNA splicing, via endonucleolytic cleavage and ligation",-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of actin filament organization,47,ABP1;AIM21;AIM3;AIP1;AIP5;ARC15;ARC18;ARC40;BBC1;BNI1;BUD14;BUD6;BZZ1;CAP1;CAP2;DMA1;DMA2;EFB1;GIC2;HOF1;KEL1;KEL2;LAS17;LSB1;MYO3;MYO5;PAN1;PFY1;PIN3;SLA1;SLA2;SRV2;TDA2;TWF1;VRP1,35,27.0,0.001,0.1293,0.978,1.0
regulation of protein catabolic process,14,BLM10;CDH1;MAC1;MND2;PTH2;RPN1;RPN2;RPN3;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6;UBP6,15,123.0,0.001,0.06805263157894736,1.0,1.0
phospholipid dephosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
