 Domain ID                                                                                                                                          Annotation                                                                                                                                                                                                       Annotation Members in Network  Annotation Members in Network Count  Summed Significance Score  Enrichment P-value  Enrichment Q-value  Depletion P-value  Depletion Q-value
         9                                                                                                                         thioester metabolic process                                                                                                                                                                              FAA3;FAA4;KGD2;LAT1;LPD1;LSC1;LSC2;PDA1;PDB1;PDX1;TES1                                   11                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                            tricarboxylic acid cycle                                                                                                                                                         ACO1;FUM1;IDH1;IDH2;IDP1;KGD1;KGD2;LSC1;LSC2;LYS12;MDH1;MDH2;MLS1;SDH1;SDH2                                   15                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                     ubiquinone biosynthetic process                                                                                                                                                                                                                      CAT5;COQ3;COQ5                                    3                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                            valine metabolic process                                                                                                                                                                                             BAT1;BAT2;EHD3;ILV2;ILV3;ILV5;ILV6;LPD1                                    8                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                          L-serine metabolic process                                                                                                                                                                                             CHA1;CYS4;ILV1;LPD1;MCY1;SER2;SHM1;SHM2                                    8                  76.316463               0.012            0.391814              1.000                1.0
         9                                                                                                                           ethanol catabolic process                                                                                                                                                                                                                           ALD5;ALD6                                    2                  63.045410               0.020            0.585000              1.000                1.0
         9                                                                                                                   primary alcohol catabolic process                                                                                                                                                                                                                           ALD5;ALD6                                    2                  63.045410               0.020            0.585000              1.000                1.0
         9                                                                                                       aspartate family amino acid catabolic process                                                                                                                                                                                                                 CHA1;GLY1;ILV1;KGD2                                    4                  62.346440               0.004            0.144000              1.000                1.0
         9                                                                                                         branched-chain amino acid catabolic process                                                                                                                                                                                                            BAT1;BAT2;EHD3;LPD1;PDC1                                    5                  62.346440               0.004            0.144000              1.000                1.0
         9                                                                                                                           leucine metabolic process                                                                                                                                                                                                                 BAT1;BAT2;LEU4;LPD1                                    4                  62.346440               0.004            0.144000              1.000                1.0
         9                                                                                                     protein maturation by [2Fe-2S] cluster transfer                                                                                                                                                                                                                           GRX5;SSQ1                                    2                  62.346440               0.004            0.144000              1.000                1.0
         9                                                                                                  protein maturation by iron-sulfur cluster transfer                                                                                                                                                                                                                           GRX5;SSQ1                                    2                  62.346440               0.004            0.144000              1.000                1.0
         9                                                                                                                       L-serine biosynthetic process                                                                                                                                                                                                                           LPD1;SER2                                    2                  44.173220               0.020            0.585000              1.000                1.0
         9                                                                                              fatty acid beta-oxidation using acyl-CoA dehydrogenase                                                                                                                                                                                                                          AIM45;CIR1                                    2                  38.866101               0.032            0.702000              1.000                1.0
         9                                                                                                                            valine catabolic process                                                                                                                                                                                                                           EHD3;LPD1                                    2                  36.346440               0.040            0.780000              1.000                1.0
         9                                                                                                                             amide catabolic process                                                                                                                                                                                                                     DAL82;KGD2;PUT2                                    3                  35.270230               0.044            0.792000              1.000                1.0
        12                                                                                                  polyadenylation-dependent snoRNA 3'-end processing                                                                                                                                                                                           LRP1;MTR3;MTR4;RRP4;RRP40;RRP46;RRP6;SKI6                                    8                  79.453650               0.001            0.052000              0.980                1.0
        12                                                                                                                          U5 snRNA 3'-end processing                                                                                                                                                                                               LRP1;MTR4;RRP42;RRP43;RRP45;RRP6;SKI6                                    7                  75.851590               0.001            0.052000              0.992                1.0
        12                                                                                            nuclear polyadenylation-dependent rRNA catabolic process                                                                                                                                                     AIR2;CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;RAI1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6                                   15                  69.173926               0.001            0.052000              0.968                1.0
        12                                                                                                                          U4 snRNA 3'-end processing                                                                                                                                                                         LRP1;MTR3;MTR4;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6                                   11                  68.035110               0.001            0.052000              0.980                1.0
        12                                                                                                                             snRNA 3'-end processing                                                                                                                                                                         LRP1;MTR3;MTR4;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6                                   11                  68.035110               0.001            0.052000              0.980                1.0
        12                                                                                                                                    snRNA processing                                                                                                                                                                    LRP1;MTR3;MTR4;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SEN1;SKI6                                   12                  67.682928               0.001            0.052000              0.980                1.0
        12                    exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)                                                                                                                                                          CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6                                   14                  64.689376               0.001            0.052000              0.972                1.0
        12                                                                                           nuclear polyadenylation-dependent ncRNA catabolic process                                                                                                                                                AIR2;CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;RAI1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6                                   16                  64.689376               0.001            0.052000              0.968                1.0
        12                                                                                            nuclear polyadenylation-dependent tRNA catabolic process                                                                                                                                                               AIR2;CSL4;DIS3;MTR3;MTR4;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6                                   13                  64.689376               0.001            0.052000              0.968                1.0
        12                                                                                                     polyadenylation-dependent RNA catabolic process                                                                                                                                                AIR2;CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;RAI1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6                                   16                  64.689376               0.001            0.052000              0.968                1.0
        12                                                                                                                              tRNA catabolic process                                                                                                                                                          AIR2;CSL4;DIS3;MTR3;MTR4;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;XRN1                                   14                  64.689376               0.001            0.052000              0.968                1.0
        12                                                                                                                                    RNA surveillance                                                                                                                           AIR2;CSL4;DIS3;DOM34;GBP2;LRP1;MLP1;MPP6;MTR3;MTR4;RAI1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;SUS1                                   20                  62.315540               0.001            0.052000              0.964                1.0
        12                                                                                                                            nuclear RNA surveillance                                                                                                                                 AIR2;CSL4;DIS3;GBP2;LRP1;MLP1;MPP6;MTR3;MTR4;RAI1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;SUS1                                   19                  62.315540               0.001            0.052000              0.964                1.0
        12                                                                                                                             snRNA metabolic process                                                                                                                               AIR2;BDF1;CBF5;GAR1;LRP1;MTR3;MTR4;NHP2;NOP10;PRP16;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SEN1;SKI6                                   19                  59.872190               0.001            0.052000              0.968                1.0
        12                                                                                             nuclear polyadenylation-dependent CUT catabolic process                                                                                                                                                                                                  AIR2;DIS3;LRP1;MPP6;MTR3;RRP6;SKI6                                    7                  55.536855               0.001            0.052000              0.996                1.0
        12                                                                                                 nuclear mRNA surveillance of mRNA 3'-end processing                                                                                                                                                                                                                      AIR2;MPP6;MTR4                                    3                  47.646980               0.012            0.580966              0.992                1.0
        12                                                                                                                          U1 snRNA 3'-end processing                                                                                                                                                                                                         RRP42;RRP43;RRP45;RRP6;SKI6                                    5                  44.151739               0.004            1.000000              0.996                1.0
        13 endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) BUD21;BUD23;DBP8;DIP2;EMG1;ENP1;ESF2;FCF1;FCF2;KRR1;LCP5;LOC1;MPP10;MRD1;NOC4;NOP14;NOP58;PNO1;PWP2;RCL1;ROK1;RPS0A;RPS0B;RPS18A;RPS18B;RPS21A;RPS21B;RRP5;RRP9;RRS1;SAS10;TOM1;UTP10;UTP11;UTP13;UTP14;UTP18;UTP20;UTP23;UTP6;UTP7                                   41                 122.030885               0.008            1.000000              0.932                1.0
        13                                                  endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)                                                                    BMS1;DBP8;DIP2;EMG1;ESF2;FCF1;FCF2;LCP5;LOC1;MPP10;MRD1;NOC4;NOP14;NOP58;PWP2;RCL1;ROK1;RRP5;RRP9;SAS10;TOM1;UTP10;UTP11;UTP13;UTP14;UTP18;UTP20;UTP23;UTP6;UTP7                                   30                  76.579934               0.004            1.000000              0.968                1.0
        13                                                 endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)                                                              BMS1;BUD21;DBP8;DIP2;EMG1;ESF2;FCF1;FCF2;LOC1;MPP10;MRD1;NOC4;NOP14;NOP58;PNO1;PWP2;RCL1;ROK1;RRP5;RRP9;SAS10;TOM1;UTP10;UTP11;UTP13;UTP14;UTP18;UTP20;UTP23;UTP6;UTP7                                   31                  64.724128               0.024            1.000000              0.968                1.0
        13                                                                                                                              rRNA 5'-end processing                                              BMS1;BRX1;BUD21;DBP8;DIP2;EMG1;ESF2;FCF1;FCF2;LOC1;MPP10;MRD1;NOC4;NOP14;NOP58;PNO1;PWP2;RCL1;RLP7;ROK1;RRP17;RRP5;RRP9;SAS10;TOM1;UTP10;UTP11;UTP13;UTP14;UTP18;UTP20;UTP23;UTP6;UTP7                                   34                  64.474250               0.032            1.000000              0.964                1.0
        13                                                                                                                       box C/D RNA 3'-end processing                                                                                                                                                                                                                           NOP1;PXR1                                    2                  39.841290               1.000            1.000000              0.996                1.0
        13                                                                                                                   small-subunit processome assembly                                                                                                                                                                                                                           ESF2;MRD1                                    2                  36.495556               1.000            1.000000              0.992                1.0
        13                                                                                          nuclear polyadenylation-dependent snoRNA catabolic process                                                                                                                                                                                                                           AIR2;RRP6                                    2                  32.280430               1.000            1.000000              0.996                1.0
        14                                                                                                            proton motive force-driven ATP synthesis                                                                                                                                             ATP1;ATP14;ATP15;ATP16;ATP17;ATP18;ATP19;ATP2;ATP20;ATP3;ATP4;ATP5;ATP6;ATP7;TIM11;VMA1                                   16                 122.157586               0.004            0.312000              0.996                1.0
        14                                                                                                                    aerobic electron transport chain                                                                                                                                       COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX8;CYT1;NDI1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1                                   18                 114.000000               0.001            0.087750              0.888                1.0
        14                                                                                              cyclic threonylcarbamoyladenosine biosynthetic process                                                                                                                                                                                                                           TCD1;TCD2                                    2                 114.000000               0.001            0.087750              0.992                1.0
        14                                                                                              mitochondrial ATP synthesis coupled electron transport                                                                                                                                       COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX8;CYT1;NDI1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1                                   18                 114.000000               0.001            0.087750              0.888                1.0
        14                                                                                            mitochondrial electron transport, cytochrome c to oxygen                                                                                                                                                                                          COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX8                                    8                 114.000000               0.001            0.087750              0.948                1.0
        14                                                                                         mitochondrial electron transport, ubiquinol to cytochrome c                                                                                                                                                                                            CYT1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1                                    8                 114.000000               0.001            0.087750              0.952                1.0
        14                                                                                                                    mitochondrial protein processing                                                                                                                                                                                                                AFG3;COR1;CYM1;YTA12                                    4                 114.000000               0.001            0.087750              0.976                1.0
        14                                                                                                mitochondrial respiratory chain complex III assembly                                                                                                                                                                                                                           QCR7;QCR9                                    2                 114.000000               0.001            0.087750              0.996                1.0
        14                                                                                                                           oxidative phosphorylation                                                                                                                 ATP15;ATP2;ATP5;COX1;COX12;COX13;COX2;COX4;COX5A;COX5B;COX6;COX8;CYT1;NDI1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1                                   22                 114.000000               0.001            0.087750              0.884                1.0
        14                                                                                                                respiratory electron transport chain                                                                                                                             CIR2;COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX8;CYT1;NDI1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1;SDH2                                   20                 114.000000               0.001            0.087750              0.872                1.0
        14                                                                                             purine ribonucleoside triphosphate biosynthetic process                                                                                                                              ATP1;ATP14;ATP15;ATP16;ATP17;ATP18;ATP19;ATP2;ATP20;ATP3;ATP4;ATP5;ATP6;ATP7;IMD3;IMD4;TIM11;VMA1;YNK1                                   19                 107.407117               0.008            0.488348              0.992                1.0
        14                                                                                        positive regulation of establishment of protein localization                                                                                                                                                                                                                           ALY2;POR1                                    2                  54.860505               0.036            1.000000              0.988                1.0
        14                                                                                                                           lactate metabolic process                                                                                                                                                                                                                           DLD1;DLD3                                    2                  53.121720               0.040            1.000000              0.996                1.0
        14                                                                                                           cysteine biosynthetic process from serine                                                                                                                                                                                                                           CYS4;MCY1                                    2                  51.548798               0.044            1.000000              0.988                1.0
        14                                                                                                           regulation of protein import into nucleus                                                                                                                                                                                                                           POR1;SCS2                                    2                  50.112833               0.048            1.000000              0.984                1.0
        16                                                                                                                              rRNA 3'-end processing                                                                                                                           CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;RPS0A;RPS0B;RPS21A;RPS21B;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;TSR1                                   19                 158.315540               0.001            0.280800              1.000                1.0
        16                                                 endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)                                                                                                                                                                                                      RPS0A;RPS0B;RPS21A;RPS21B;TSR1                                    5                 113.324370               0.001            0.280800              1.000                1.0
        18                                                                                                            response to arsenic-containing substance                                                                                                                                                                                                               CUZ1;MET30;MET4;TIM18                                    4                  91.975578               0.001            0.175500              0.984                1.0
        18                                                                                                                         translational frameshifting                                                                                                                                                                                                  ANB1;ASC1;HYP2;SSB1;SSB2;SSZ1;ZUO1                                    7                  88.723780               0.004            0.468000              0.984                1.0
        18                                                                                                                               amino acid activation                                                                                                                    ARC1;CDC60;CRS1;DED81;DPS1;GLN4;GRS1;GUS1;HTS1;ILS1;KRS1;MES1;MSK1;NAM2;SES1;SLM5;THS1;TYS1;VAS1;YDR341C;YHR020W                                   21                  78.000000               0.001            0.175500              0.972                1.0
        18                                                                                        aminoacyl-tRNA metabolism involved in translational fidelity                                                                                                                                                                                                        CDC60;ILS1;NAM2;VAS1;YHR020W                                    5                  78.000000               0.001            0.175500              1.000                1.0
        18                                                                                                 protein insertion into mitochondrial inner membrane                                                                                                                                                                                                              OXA1;TIM18;TIM54;TOM70                                    4                  78.000000               0.001            0.175500              0.988                1.0
        18                                                                                                         tRNA aminoacylation for protein translation                                                                                                                    ARC1;CDC60;CRS1;DED81;DPS1;GLN4;GRS1;GUS1;HTS1;ILS1;KRS1;MES1;MSK1;NAM2;SES1;SLM5;THS1;TYS1;VAS1;YDR341C;YHR020W                                   21                  78.000000               0.001            0.175500              0.972                1.0
        18                                                                                       positive regulation of protein-containing complex disassembly                                                                                                                                                                                                                      ANB1;HYP2;TWF1                                    3                  62.346440               0.004            0.468000              0.992                1.0
        18                                                                                                     positive regulation of translational elongation                                                                                                                                                                                                                 ANB1;EFT1;EFT2;HYP2                                    4                  62.346440               0.004            0.468000              0.992                1.0
        18                                                                                                    positive regulation of translational termination                                                                                                                                                                                                                           ANB1;HYP2                                    2                  62.346440               0.004            0.468000              0.992                1.0
        18                                                                                                             regulation of translational termination                                                                                                                                                                                                      ANB1;CAM1;ECM32;EFB1;HYP2;NEW1                                    6                  54.519660               0.008            0.748800              0.980                1.0
        18                                                                                                                cytoplasmic microtubule organization                                                                                                                                                                                                                          NUD1;SPC98                                    2                  40.373891               0.028            1.000000              0.996                1.0
        18                                                                                                                    monosaccharide catabolic process                                                                                                                                                                                                                      PFK1;PFK2;RBK1                                    3                  38.866101               0.032            1.000000              0.992                1.0
        18                                                                                                                              microtubule nucleation                                                                                                                                                                                                                        SPC110;SPC98                                    2                  38.744380               0.004            0.802286              1.000                1.0
        18                                                                                           tRNA aminoacylation for mitochondrial protein translation                                                                                                                                                                                                                      GRS1;MSK1;SLM5                                    3                  37.536135               0.036            1.000000              0.984                1.0
        18                                                                                              mitochondrion-endoplasmic reticulum membrane tethering                                                                                                                                                                                                                     MDM10;MMM1;NVJ2                                    3                  36.346440               0.040            1.000000              1.000                1.0
        18                                                                                                                                    spindle assembly                                                                                                                                                                                                               CDC28;KIP1;NUD1;SPC98                                    4                  35.270230               0.044            1.000000              0.996                1.0
        18                                                                                                                        RNA (guanine-N7)-methylation                                                                                                                                                                                                                   BUD23;TRM112;TRM8                                    3                  34.287728               0.048            1.000000              1.000                1.0
        18                                                                                                                    iron ion transmembrane transport                                                                                                                                                                                                                           ENB1;SIT1                                    2                  34.287728               0.048            1.000000              0.996                1.0
        19                                                                                                                regulation of translational fidelity                                                                                                                             CDC60;GCD11;ILS1;NAM2;RPL31A;RPL31B;RPS2;RPS23A;RPS23B;RPS5;RPS9B;SSB1;SSB2;SSZ1;SUI1;VAS1;YHR020W;ZUO1                                   18                 172.158459               0.001            0.200571              1.000                1.0
        20                                                                                                                                 response to alcohol                                                                                                                                                                                                                  PDR5;RPL42A;RPL42B                                    3                  19.754680               0.016            1.000000              1.000                1.0
        20                                                                                                                           response to cycloheximide                                                                                                                                                                                                                  PDR5;RPL42A;RPL42B                                    3                  19.754680               0.016            1.000000              1.000                1.0
        20                                                                                                                              response to antibiotic                                                                                                                                                                                                             PBS2;PDR5;RPL42A;RPL42B                                    4                  15.880672               0.036            1.000000              1.000                1.0
        22                                                                                                               maintenance of translational fidelity                                                                                                                                                                                ASC1;EFB1;EFT1;EFT2;RPL2A;RPL3;RPS12;RPS3;RPS31;SUI1                                   10                 114.000000               0.001            0.175500              1.000                1.0
        22                                                                                                           N-terminal protein amino acid acetylation                                                                                                                                                                                                                ARD1;MDM20;NAT1;NAT5                                    4                  81.000000               0.001            0.175500              1.000                1.0
        22                                                                                                          N-terminal protein amino acid modification                                                                                                                                                                                                                ARD1;MDM20;NAT1;NAT5                                    4                  81.000000               0.001            0.175500              1.000                1.0
        22                                                                                                                                 protein acetylation                                                                                                                                                                                                           ADA2;ARD1;MDM20;NAT1;NAT5                                    5                  81.000000               0.001            0.175500              1.000                1.0
        22                                                                                                                                   protein acylation                                                                                                                                                                                                      ADA2;AKR1;ARD1;MDM20;NAT1;NAT5                                    6                  81.000000               0.001            0.175500              1.000                1.0
        22                                                                                                        G protein-coupled receptor signaling pathway                                                                                                                                                                                                                           ASC1;IRA1                                    2                  45.872190               0.020            1.000000              1.000                1.0
        22                                                                                                     negative regulation of translational elongation                                                                                                                                                                                                                           ASC1;DHH1                                    2                  37.744380               0.040            1.000000              1.000                1.0
